status,product_area,response,justification,request_type
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
escalated,general_support,Thank you for reaching out. A support specialist will review your request shortly.,Processing error: Gemini rate limit exceeded after 3 retries,product_issue
